iso3,Year,avg_temp,average_rain_fall_mm_per_year
AFG,1990,13.26,359.2
AFG,1991,12.72,430.0
AFG,1992,12.43,403.5
AFG,1993,12.71,337.9
AFG,1994,12.95,336.0
AFG,1995,13.11,311.5
AFG,1996,12.64,328.8
AFG,1997,12.94,341.8
AFG,1998,13.34,368.8
AFG,1999,13.82,317.2
AFG,2000,13.61,247.8
AFG,2001,13.95,246.5
AFG,2002,13.79,313.4
AFG,2003,13.26,342.3
AFG,2004,13.91,313.2
AFG,2005,13.35,369.0
AFG,2006,13.8,344.5
AFG,2007,13.49,319.8
AFG,2008,13.45,291.0
AFG,2009,13.72,379.6
AFG,2010,14.09,304.7
AFG,2011,13.53,321.6
AFG,2012,13.07,362.6
AFG,2013,13.91,357.3
AFG,2014,13.2,306.4
AFG,2015,13.78,391.0
AFG,2016,14.26,361.0
AFG,2017,13.88,299.9
AFG,2018,14.18,275.1
AFG,2019,13.8,389.0
AFG,2020,13.19,387.3
AFG,2021,14.34,229.7
AFG,2022,14.51,305.3
AFG,2023,14.67,297.9
AGO,1990,21.73,1035.7
AGO,1991,21.55,1071.0
AGO,1992,21.69,932.5
AGO,1993,21.58,1042.5
AGO,1994,21.65,986.0
AGO,1995,21.93,960.4
AGO,1996,21.71,993.0
AGO,1997,21.84,1072.2
AGO,1998,22.09,1036.7
AGO,1999,21.59,1057.5
AGO,2000,21.67,1057.2
AGO,2001,21.84,1045.4
AGO,2002,21.93,1068.9
AGO,2003,22.01,1037.7
AGO,2004,21.78,1072.9
AGO,2005,22.14,1021.3
AGO,2006,21.58,1091.8
AGO,2007,21.56,1056.0
AGO,2008,21.53,1070.6
AGO,2009,21.72,1077.1
AGO,2010,21.87,1051.1
AGO,2011,21.49,1057.0
AGO,2012,21.53,1072.0
AGO,2013,21.56,1036.5
AGO,2014,21.56,1056.2
AGO,2015,21.69,1005.2
AGO,2016,21.94,1031.2
AGO,2017,21.84,1066.8
AGO,2018,21.66,1056.4
AGO,2019,21.76,1063.3
AGO,2020,21.72,1069.6
AGO,2021,21.73,1057.4
AGO,2022,21.62,1057.6
AGO,2023,21.51,1053.9
ALB,1990,12.17,921.1
ALB,1991,11.16,1030.5
ALB,1992,11.84,873.7
ALB,1993,11.79,940.1
ALB,1994,12.81,1033.2
ALB,1995,11.66,1220.0
ALB,1996,11.31,1311.0
ALB,1997,11.6,923.4
ALB,1998,12.18,1064.6
ALB,1999,12.51,1193.2
ALB,2000,12.85,808.8
ALB,2001,12.44,934.5
ALB,2002,12.66,1192.6
ALB,2003,12.4,1068.0
ALB,2004,12.09,1165.1
ALB,2005,11.68,1231.2
ALB,2006,12.11,1124.2
ALB,2007,12.9,1155.8
ALB,2008,12.91,1105.4
ALB,2009,12.77,1421.2
ALB,2010,12.6,1438.5
ALB,2011,12.41,876.6
ALB,2012,12.96,1109.0
ALB,2013,12.97,1148.8
ALB,2014,13.12,1427.5
ALB,2015,13.0,1130.5
ALB,2016,12.9,1200.7
ALB,2017,12.81,1089.4
ALB,2018,13.49,1022.0
ALB,2019,13.47,1292.3
ALB,2020,13.17,1074.5
ALB,2021,12.84,1214.7
ALB,2022,13.44,995.3
ALB,2023,13.86,1178.7
ARE,1990,27.72,57.5
ARE,1991,27.47,63.9
ARE,1992,26.68,76.6
ARE,1993,27.59,87.8
ARE,1994,27.99,41.0
ARE,1995,27.57,70.2
ARE,1996,27.9,84.0
ARE,1997,27.53,98.5
ARE,1998,28.62,60.7
ARE,1999,28.82,57.6
ARE,2000,28.29,51.5
ARE,2001,28.4,29.9
ARE,2002,28.3,42.7
ARE,2003,28.34,45.3
ARE,2004,28.47,46.0
ARE,2005,28.1,53.6
ARE,2006,28.44,63.9
ARE,2007,28.48,48.8
ARE,2008,28.29,37.5
ARE,2009,28.55,83.0
ARE,2010,29.12,38.9
ARE,2011,28.45,43.5
ARE,2012,28.61,41.9
ARE,2013,28.53,57.2
ARE,2014,28.32,79.6
ARE,2015,28.59,56.0
ARE,2016,28.72,62.2
ARE,2017,28.56,66.5
ARE,2018,28.85,55.8
ARE,2019,28.4,69.0
ARE,2020,28.2,70.1
ARE,2021,29.02,51.4
ARE,2022,28.67,59.7
ARE,2023,28.95,54.6
ARG,1990,15.01,667.2
ARG,1991,15.06,666.0
ARG,1992,14.68,733.5
ARG,1993,15.02,617.6
ARG,1994,15.6,605.2
ARG,1995,14.95,510.7
ARG,1996,15.03,629.6
ARG,1997,15.38,657.6
ARG,1998,15.02,623.4
ARG,1999,14.75,636.5
ARG,2000,14.45,712.2
ARG,2001,15.09,712.7
ARG,2002,14.84,754.6
ARG,2003,15.24,596.4
ARG,2004,15.24,580.7
ARG,2005,14.9,581.7
ARG,2006,15.46,599.7
ARG,2007,14.45,586.3
ARG,2008,15.34,532.9
ARG,2009,15.42,538.2
ARG,2010,14.91,557.3
ARG,2011,15.15,566.5
ARG,2012,15.61,629.1
ARG,2013,15.4,521.2
ARG,2014,15.41,702.5
ARG,2015,15.5,649.2
ARG,2016,14.94,660.4
ARG,2017,15.57,639.0
ARG,2018,15.27,597.4
ARG,2019,15.22,587.0
ARG,2020,15.55,501.2
ARG,2021,15.42,540.3
ARG,2022,15.12,482.2
ARG,2023,15.95,564.1
ARM,1990,7.04,449.7
ARM,1991,7.07,511.9
ARM,1992,5.31,595.1
ARM,1993,6.02,552.6
ARM,1994,7.22,594.2
ARM,1995,7.35,472.2
ARM,1996,7.68,465.9
ARM,1997,6.93,526.7
ARM,1998,8.07,467.3
ARM,1999,8.25,478.6
ARM,2000,7.67,408.8
ARM,2001,8.31,464.9
ARM,2002,7.29,637.7
ARM,2003,7.47,678.3
ARM,2004,7.55,597.6
ARM,2005,7.66,592.7
ARM,2006,7.95,535.6
ARM,2007,7.2,694.4
ARM,2008,7.56,468.1
ARM,2009,7.74,654.8
ARM,2010,9.47,650.9
ARM,2011,7.12,668.1
ARM,2012,8.05,516.1
ARM,2013,7.91,519.4
ARM,2014,8.6,510.1
ARM,2015,8.37,592.0
ARM,2016,7.84,676.0
ARM,2017,8.09,436.5
ARM,2018,9.38,589.0
ARM,2019,8.6,417.6
ARM,2020,8.29,575.2
ARM,2021,8.98,438.2
ARM,2022,8.67,443.9
ARM,2023,9.02,568.8
ATG,1990,26.91,1095.2
ATG,1991,26.94,964.2
ATG,1992,27.05,1295.7
ATG,1993,27.17,927.2
ATG,1994,26.99,830.3
ATG,1995,27.35,990.8
ATG,1996,27.27,1098.2
ATG,1997,27.65,988.5
ATG,1998,28.04,1269.8
ATG,1999,27.53,1075.3
ATG,2000,27.28,843.9
ATG,2001,27.6,1074.1
ATG,2002,27.61,1066.8
ATG,2003,27.7,1092.3
ATG,2004,27.29,1279.5
ATG,2005,27.64,1337.5
ATG,2006,27.38,1311.0
ATG,2007,27.32,1031.1
ATG,2008,26.95,1368.7
ATG,2009,27.35,871.0
ATG,2010,27.78,1220.3
ATG,2011,27.31,1123.2
ATG,2012,27.36,953.1
ATG,2013,27.47,1017.8
ATG,2014,27.46,1091.7
ATG,2015,27.69,645.0
ATG,2016,27.65,1059.8
ATG,2017,27.44,1146.2
ATG,2018,27.15,1002.0
ATG,2019,27.5,1024.9
ATG,2020,27.51,990.6
ATG,2021,27.4,880.9
ATG,2022,27.19,965.0
