codigo_pais,pais,anio,consumo_fertilizantes_kg_ha,precipitacion_media_mm,rendimiento_cereales_kg_ha,tierra_agricola_pct
BRA,Brazil,1990,67.7608787494719,1782.0,1755.1,28.1043390036539
BRA,Brazil,1991,73.2661272876736,1782.0,1850.7,27.9344686736523
BRA,Brazil,1992,78.3707578746703,1761.0,2142.5,27.7645983436506
BRA,Brazil,1993,101.138662242324,1782.0,2354.6,27.594728013649
BRA,Brazil,1994,117.003217833326,1782.0,2285.0,27.4248576836473
BRA,Brazil,1995,98.815872941287,1782.0,2513.1,27.2554659290225
BRA,Brazil,1996,116.365322206769,1782.0,2422.2,27.2678729956665
BRA,Brazil,1997,133.584189217009,1761.0,2521.8,27.2802800623105
BRA,Brazil,1998,132.096897999729,1782.0,2580.4,27.2926871289545
BRA,Brazil,1999,130.814378997571,1782.0,2732.0,27.3050941955985
BRA,Brazil,2000,144.516810420701,1782.0,2643.3,27.3175012622426
BRA,Brazil,2001,148.571428571429,1782.0,3147.6,27.3299083288866
BRA,Brazil,2002,164.911312819192,1761.0,2844.8,27.3423153955306
BRA,Brazil,2003,188.76334809979,1782.0,3385.4,27.3547224621746
BRA,Brazil,2004,229.819289722757,1782.0,3131.8,27.3671295288186
BRA,Brazil,2005,174.313388368196,1782.0,2882.6,27.3795365954626
BRA,Brazil,2006,184.578014474384,1782.0,3210.5,27.3925777744809
BRA,Brazil,2007,233.14241879807,1761.0,3553.1,27.4788170573836
BRA,Brazil,2008,214.677605215415,1761.0,3831.3,27.5650563402862
BRA,Brazil,2009,148.486392816352,1761.0,3532.1,27.6512956231889
BRA,Brazil,2010,202.796751288785,1761.0,4040.6,27.7375349060916
BRA,Brazil,2011,251.427316585619,1761.0,4037.5,27.8237741889942
BRA,Brazil,2012,230.132478632479,1761.0,4584.5,27.9100134718969
BRA,Brazil,2013,265.567784201832,1761.0,4826.4,27.9962527547995
BRA,Brazil,2014,285.060525095092,1761.0,4640.4,28.0824920377022
BRA,Brazil,2015,234.965094097362,1761.0,5000.6,28.168707391836
BRA,Brazil,2016,240.181955023576,1761.0,4181.7,28.2549706035075
