orden_compra,id_tiempo,mes,id_cultivo,id_proveedor,canal_reventa,hectareas_contratadas,volumen_comprado_ton,precio_compra_usd_ton,precio_reventa_usd_ton,costo_total_usd,ingreso_reventa_usd,margen_bruto_usd,merma_pct
OC-1990-00001,1990,3,1,34,Industria procesadora,146.2,755.99,216.99,255.84,164042.27,193412.48,29370.21,5.3
OC-1990-00002,1990,10,1,12,Supermercados,148.8,779.24,235.45,292.23,183472.06,227717.31,44245.25,4.1
OC-1990-00003,1990,8,1,6,Supermercados,184.3,954.49,216.01,252.86,206179.38,241352.34,35172.96,5.1
OC-1990-00004,1990,3,1,7,Supermercados,151.0,806.87,219.38,258.91,177011.14,208906.71,31895.57,2.1
OC-1990-00005,1990,3,1,22,Mayoristas locales,76.5,403.15,232.59,285.56,93768.66,115123.51,21354.85,3.5
OC-1990-00006,1990,8,1,17,Industria procesadora,130.5,676.57,233.39,274.26,157904.67,185556.09,27651.42,5.0
OC-1990-00007,1990,9,1,26,Supermercados,158.7,835.1,220.79,265.78,184381.73,221952.88,37571.15,3.6
OC-1991-00008,1991,11,1,19,Supermercados,142.4,641.44,218.53,261.02,140173.88,167428.67,27254.79,4.6
OC-1991-00009,1991,10,1,14,Industria procesadora,100.3,464.22,230.1,275.46,106817.02,127874.04,21057.02,2.0
OC-1991-00010,1991,9,1,30,Supermercados,200.5,862.02,207.35,244.55,178739.85,210806.99,32067.14,8.9
OC-1992-00011,1992,5,1,12,Industria procesadora,173.7,584.78,233.02,281.56,136265.44,164650.66,28385.22,8.7
OC-1992-00012,1992,2,1,4,Supermercados,76.0,269.23,226.32,270.13,60932.13,72727.1,11794.97,4.0
OC-1992-00013,1992,2,1,13,Mayoristas locales,115.8,400.34,222.98,276.04,89267.81,110509.85,21242.04,6.2
OC-1992-00014,1992,12,1,32,Supermercados,176.5,608.66,225.94,271.14,137520.64,165032.07,27511.43,6.5
OC-1992-00015,1992,12,1,6,Supermercados,181.9,651.08,224.57,265.97,146213.04,173167.75,26954.71,2.9
OC-1992-00016,1992,10,1,25,Industria procesadora,190.7,658.22,215.47,261.18,141826.66,171913.9,30087.24,6.4
