id_geografia,id_cultivo,id_tiempo,rendimiento_ton_ha,precipitacion_mm,pesticidas_ton,temperatura_media_c
1,2,1990,3.661,921.1,121.0,12.17
1,2,1991,2.907,1030.5,121.0,11.16
1,2,1992,2.488,873.7,121.0,11.84
1,2,1993,2.418,940.1,121.0,11.79
1,2,1994,2.585,1033.2,201.0,12.81
1,2,1995,3.13,1220.0,251.0,11.66
1,2,1996,3.26,1311.0,262.0,11.31
1,2,1997,3.186,923.4,274.0,11.6
1,2,1998,3.342,1064.6,285.0,12.18
1,2,1999,3.746,1193.2,297.0,12.51
1,2,2000,3.881,808.8,308.0,12.85
1,2,2001,3.814,934.5,319.0,12.44
1,2,2002,3.946,1192.6,331.0,12.66
1,2,2003,4.28,1068.0,342.0,12.4
1,2,2004,4.62,1165.1,354.0,12.09
1,2,2005,4.544,1231.2,365.0,11.68
1,2,2006,5.011,1124.2,376.0,12.11
1,2,2007,4.673,1155.8,388.0,12.9
1,2,2008,5.0,1105.4,399.0,12.91
1,2,2009,5.569,1421.2,411.0,12.77
1,2,2010,6.679,1438.5,590.0,12.6
1,2,2011,5.987,876.6,583.0,12.41
1,2,2012,6.729,1109.0,362.0,12.96
1,2,2013,6.953,1148.8,451.0,12.97
1,2,2014,6.909,1427.5,457.0,13.12
1,2,2015,6.96,1130.5,538.0,13.0
1,2,2016,6.488,1200.7,584.0,12.9
1,2,2017,6.563,1089.4,615.0,12.81
1,2,2018,7.227,1022.0,442.0,13.49
1,2,2019,7.053,1292.3,746.0,13.47
1,2,2020,7.036,1074.5,402.0,13.17
1,2,2021,7.107,1214.7,433.0,12.84
1,2,2022,7.09,995.3,296.0,13.44
1,2,2023,7.362,1178.7,296.0,13.86
1,4,1990,6.667,921.1,121.0,12.17
1,4,1991,7.782,1030.5,121.0,11.16
1,4,1992,8.292,873.7,121.0,11.84
1,4,1993,9.845,940.1,121.0,11.79
1,4,1994,8.14,1033.2,201.0,12.81
1,4,1995,11.132,1220.0,251.0,11.66
1,4,1996,10.614,1311.0,262.0,11.31
1,4,1997,10.987,923.4,274.0,11.6
1,4,1998,12.721,1064.6,285.0,12.18
1,4,1999,14.202,1193.2,297.0,12.51
1,4,2000,14.123,808.8,308.0,12.85
1,4,2001,14.882,934.5,319.0,12.44
1,4,2002,15.387,1192.6,331.0,12.66
1,4,2003,15.13,1068.0,342.0,12.4
1,4,2004,14.935,1165.1,354.0,12.09
1,4,2005,16.706,1231.2,365.0,11.68
1,4,2006,17.074,1124.2,376.0,12.11
1,4,2007,18.89,1155.8,388.0,12.9
1,4,2008,19.388,1105.4,399.0,12.91
1,4,2009,21.978,1421.2,411.0,12.77
1,4,2010,23.111,1438.5,590.0,12.6
1,4,2011,24.221,876.6,583.0,12.41
1,4,2012,25.054,1109.0,362.0,12.96
1,4,2013,26.011,1148.8,451.0,12.97
1,4,2014,25.0,1427.5,457.0,13.12
1,4,2015,24.257,1130.5,538.0,13.0
1,4,2016,24.589,1200.7,584.0,12.9
1,4,2017,25.111,1089.4,615.0,12.81
1,4,2018,26.171,1022.0,442.0,13.49
1,4,2019,25.646,1292.3,746.0,13.47
1,4,2020,26.274,1074.5,402.0,13.17
1,4,2021,24.943,1214.7,433.0,12.84
1,4,2022,26.506,995.3,296.0,13.44
1,4,2023,27.233,1178.7,296.0,13.86
1,5,1990,2.333,921.1,121.0,12.17
1,5,1991,2.854,1030.5,121.0,11.16
1,5,1992,4.0,873.7,121.0,11.84
1,5,1993,4.179,940.1,121.0,11.79
1,6,1990,1.25,921.1,121.0,12.17
1,6,1991,0.667,1030.5,121.0,11.16
1,6,1992,0.377,873.7,121.0,11.84
1,7,1990,0.7,921.1,121.0,12.17
1,7,1991,0.607,1030.5,121.0,11.16
1,7,1992,0.451,873.7,121.0,11.84
1,7,1993,0.8,940.1,121.0,11.79
1,7,1994,0.793,1033.2,201.0,12.81
