Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
Albania,Maize,1990,36613.0,921.1,121.0,12.17
Albania,Maize,1991,29068.0,1030.5,121.0,11.16
Albania,Maize,1992,24876.0,873.7,121.0,11.84
Albania,Maize,1993,24185.0,940.1,121.0,11.79
Albania,Maize,1994,25848.0,1033.2,201.0,12.81
Albania,Maize,1995,31300.0,1220.0,251.0,11.66
Albania,Maize,1996,32604.0,1311.0,262.0,11.31
Albania,Maize,1997,31862.0,923.4,274.0,11.6
Albania,Maize,1998,33416.0,1064.6,285.0,12.18
Albania,Maize,1999,37455.0,1193.2,297.0,12.51
Albania,Maize,2000,38811.0,808.8,308.0,12.85
Albania,Maize,2001,38135.0,934.5,319.0,12.44
Albania,Maize,2002,39460.0,1192.6,331.0,12.66
Albania,Maize,2003,42805.0,1068.0,342.0,12.4
Albania,Maize,2004,46197.0,1165.1,354.0,12.09
Albania,Maize,2005,45442.0,1231.2,365.0,11.68
Albania,Maize,2006,50111.0,1124.2,376.0,12.11
Albania,Maize,2007,46732.0,1155.8,388.0,12.9
Albania,Maize,2008,50000.0,1105.4,399.0,12.91
Albania,Maize,2009,55693.0,1421.2,411.0,12.77
Albania,Maize,2010,66790.0,1438.5,590.0,12.6
Albania,Maize,2011,59869.0,876.6,583.0,12.41
Albania,Maize,2012,67290.0,1109.0,362.0,12.96
Albania,Maize,2013,69533.0,1148.8,451.0,12.97
Albania,Maize,2014,69091.0,1427.5,457.0,13.12
Albania,Maize,2015,69597.0,1130.5,538.0,13.0
Albania,Maize,2016,64877.0,1200.7,584.0,12.9
Albania,Maize,2017,65632.0,1089.4,615.0,12.81
Albania,Maize,2018,72273.0,1022.0,442.0,13.49
Albania,Maize,2019,70529.0,1292.3,746.0,13.47
Albania,Maize,2020,70359.0,1074.5,402.0,13.17
Albania,Maize,2021,71073.0,1214.7,433.0,12.84
Albania,Maize,2022,70901.0,995.3,296.0,13.44
Albania,Maize,2023,73622.0,1178.7,296.0,13.86
Albania,Potatoes,1990,66667.0,921.1,121.0,12.17
Albania,Potatoes,1991,77818.0,1030.5,121.0,11.16
Albania,Potatoes,1992,82920.0,873.7,121.0,11.84
Albania,Potatoes,1993,98446.0,940.1,121.0,11.79
Albania,Potatoes,1994,81404.0,1033.2,201.0,12.81
Albania,Potatoes,1995,111323.0,1220.0,251.0,11.66
Albania,Potatoes,1996,106138.0,1311.0,262.0,11.31
Albania,Potatoes,1997,109874.0,923.4,274.0,11.6
Albania,Potatoes,1998,127212.0,1064.6,285.0,12.18
Albania,Potatoes,1999,142018.0,1193.2,297.0,12.51
Albania,Potatoes,2000,141228.0,808.8,308.0,12.85
Albania,Potatoes,2001,148818.0,934.5,319.0,12.44
Albania,Potatoes,2002,153868.0,1192.6,331.0,12.66
Albania,Potatoes,2003,151301.0,1068.0,342.0,12.4
Albania,Potatoes,2004,149346.0,1165.1,354.0,12.09
Albania,Potatoes,2005,167061.0,1231.2,365.0,11.68
Albania,Potatoes,2006,170745.0,1124.2,376.0,12.11
Albania,Potatoes,2007,188902.0,1155.8,388.0,12.9
Albania,Potatoes,2008,193878.0,1105.4,399.0,12.91
Albania,Potatoes,2009,219780.0,1421.2,411.0,12.77
Albania,Potatoes,2010,231111.0,1438.5,590.0,12.6
Albania,Potatoes,2011,242211.0,876.6,583.0,12.41
Albania,Potatoes,2012,250538.0,1109.0,362.0,12.96
Albania,Potatoes,2013,260110.0,1148.8,451.0,12.97
Albania,Potatoes,2014,250000.0,1427.5,457.0,13.12
Albania,Potatoes,2015,242574.0,1130.5,538.0,13.0
Albania,Potatoes,2016,245894.0,1200.7,584.0,12.9
Albania,Potatoes,2017,251110.0,1089.4,615.0,12.81
Albania,Potatoes,2018,261714.0,1022.0,442.0,13.49
